Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,10477.769531,10612.719727,10386.969727,10580.190430,10580.190430,79626700
2019-01-03,10467.110352,10538.660156,10400.110352,10416.660156,10416.660156,84733800
2019-01-04,10533.940430,10786.339844,10483.900391,10767.690430,10767.690430,95339500
2019-01-07,10814.389648,10814.469727,10681.269531,10747.809570,10747.809570,71151400
2019-01-08,10750.190430,10910.709961,10745.030273,10803.980469,10803.980469,93672200
2019-01-09,10884.750000,10961.919922,10839.089844,10893.320313,10893.320313,96071900
2019-01-10,10843.889648,10927.129883,10788.049805,10921.589844,10921.589844,77255600
2019-01-11,10949.129883,10959.000000,10829.919922,10887.459961,10887.459961,75537200
2019-01-14,10820.849609,10886.230469,10786.750000,10855.910156,10855.910156,65945800
2019-01-15,10962.950195,10994.830078,10812.589844,10891.790039,10891.790039,80197500
2019-01-16,10940.360352,10947.870117,10866.389648,10931.240234,10931.240234,79810600
2019-01-17,10852.500000,10929.299805,10822.250000,10918.620117,10918.620117,79327000
2019-01-18,11001.309570,11216.820313,10993.830078,11205.540039,11205.540039,119133600
2019-01-21,11176.120117,11179.910156,11125.530273,11136.200195,11136.200195,65955200
2019-01-22,11076.980469,11142.219727,11034.549805,11090.110352,11090.110352,73446100
2019-01-23,11043.639648,11135.750000,11007.209961,11071.540039,11071.540039,87752900
2019-01-24,11045.639648,11149.320313,11032.530273,11130.179688,11130.179688,110548100
2019-01-25,11234.049805,11321.620117,11218.349609,11281.790039,11281.790039,99999800
2019-01-28,11233.160156,11275.209961,11196.419922,11210.309570,11210.309570,73121100
2019-01-29,11191.519531,11276.280273,11159.169922,11218.830078,11218.830078,75129000
2019-01-30,11210.679688,11215.209961,11132.379883,11181.660156,11181.660156,73630500
2019-01-31,11257.919922,11311.370117,11051.110352,11173.099609,11173.099609,111945200
2019-02-01,11198.459961,11218.509766,11116.080078,11180.660156,11180.660156,101700800
2019-02-04,11180.419922,11209.309570,11100.339844,11176.580078,11176.580078,74165400
2019-02-05,11178.750000,11371.740234,11177.700195,11367.980469,11367.980469,89418800
2019-02-06,11337.540039,11347.940430,11297.419922,11324.719727,11324.719727,75894800
2019-02-07,11262.969727,11286.459961,11022.019531,11022.019531,11022.019531,108021800
2019-02-08,10991.790039,11045.410156,10863.559570,10906.780273,10906.780273,102300800
2019-02-11,10955.830078,11041.950195,10944.580078,11014.589844,11014.589844,69553100
2019-02-12,11123.429688,11164.379883,11116.860352,11126.080078,11126.080078,74843600
2019-02-13,11174.849609,11217.299805,11125.589844,11167.219727,11167.219727,69772400
2019-02-14,11257.799805,11260.549805,11077.780273,11089.790039,11089.790039,83384200
2019-02-15,11044.799805,11323.049805,11018.950195,11299.799805,11299.799805,105640900
2019-02-18,11287.740234,11318.190430,11256.269531,11299.200195,11299.200195,55484300
2019-02-19,11280.730469,11371.440430,11244.519531,11309.209961,11309.209961,67147500
2019-02-20,11338.740234,11437.469727,11318.740234,11401.969727,11401.969727,71844800
2019-02-21,11448.650391,11454.440430,11392.269531,11423.280273,11423.280273,77779400
2019-02-22,11422.620117,11504.709961,11420.740234,11457.700195,11457.700195,66893800
2019-02-25,11517.759766,11544.309570,11480.490234,11505.389648,11505.389648,69949900
2019-02-26,11446.290039,11556.870117,11441.870117,11540.790039,11540.790039,74034400
2019-02-27,11493.809570,11521.219727,11442.969727,11487.330078,11487.330078,84265200
2019-02-28,11430.799805,11524.990234,11416.080078,11515.639648,11515.639648,84129900
2019-03-01,11584.240234,11676.860352,11583.080078,11601.679688,11601.679688,72715100
2019-03-04,11646.209961,11650.440430,11591.740234,11592.660156,11592.660156,58412600
2019-03-05,11570.969727,11627.780273,11551.450195,11620.740234,11620.740234,63643000
2019-03-06,11593.209961,11652.769531,11565.219727,11587.629883,11587.629883,65204400
2019-03-07,11546.419922,11612.950195,11452.860352,11517.799805,11517.799805,99533100
2019-03-08,11429.769531,11475.549805,11405.209961,11457.839844,11457.839844,81946100
2019-03-11,11497.980469,11550.589844,11462.900391,11543.480469,11543.480469,71575600
2019-03-12,11612.459961,11618.730469,11499.469727,11524.169922,11524.169922,87365300
2019-03-13,11499.320313,11586.900391,11486.740234,11572.410156,11572.410156,78369100
2019-03-14,11573.419922,11635.759766,11541.099609,11587.469727,11587.469727,87594200
2019-03-15,11608.669922,11725.660156,11575.330078,11685.690430,11685.690430,187987500
2019-03-18,11685.540039,11712.360352,11635.879883,11657.059570,11657.059570,91113700
2019-03-19,11672.759766,11823.290039,11652.019531,11788.410156,11788.410156,81542500
